,Circuit QASM File Name Before Optimization,Circuit QASM File Name After Optimization,Circuit Qubit Count,Compilation Time (seconds),Two-Qubit Gate Count Before Optimization,Two-Qubit Gate Count After Optimization,Two-Qubit Gate Depth Before Optimzation,Two-Qubit Gate Depth After Optimzation,Gate Count Before Optimization,Gate Count After Optimization,Gate Set Before Optimization,Gate Set After Optimization,Partitioner,Optimization Algorithm,Optimization Algorithm Success Threshold,Optimization Algorithm Replace Filter,Partitioner Block Size,Multistart Value,Average Number of Gates in Each Partition Before Optimization,Average Number of Gates in Each Partition After Optimization,Average Number of Two-Qubit Gates in Each Partition Before Optimization,Average Number of Two-Qubit Gates in Each Partition After Optimization,Optimization Level,Randomly Generated Circuit,Framework
69,bqskit_clifford_16_78323,bqskit_clifford_16_78323_1e-08_ScanPartitioner3_QSearch,16,24.32286763191223,1083,1588,356,589,2560,6595,"HGate, CYGate, XGate, YGate, SdgGate, ZGate, CZGate, CNOTGate, SGate, SwapGate","XGate, RZGate, SqrtXGate,  CNOTGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,4.932562620423892,18.761078998073216,2.086705202312139,3.161849710982659,,False,BQSkit
70,bqskit_clifford_16_78323,bqskit_clifford_16_78323_1e-08_ScanPartitioner3_LEAP,16,22.164439916610718,1083,1591,356,593,2560,6499,"HGate, CYGate, XGate, YGate, SdgGate, ZGate, CZGate, CNOTGate, SGate, SwapGate","XGate, RZGate, SqrtXGate,  CNOTGate",ScanPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,4.932562620423892,20.215799614643544,2.086705202312139,3.452793834296724,,False,BQSkit
71,bqskit_clifford_16_78323,bqskit_clifford_16_78323_OptimizationLevel3,16,0.522978544235229,1083,772,356,261,2560,2693,"cx, swap, cy, y, cz, h, sdg, z, s, x","rz, cx, sx, x",,,,,,,,,,,3.0,False,Qiskit
72,bqskit_clifford_13_22764,bqskit_clifford_13_22764_1e-08_ScanPartitioner3_QSearch,13,19.81947374343872,684,970,261,400,1690,4408,"HGate, CYGate, XGate, YGate, SdgGate, ZGate, CNOTGate, CZGate, SGate, SwapGate","XGate, SqrtXGate, RZGate,  CNOTGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,5.248447204968944,17.90993788819876,2.124223602484472,2.9968944099378882,,False,BQSkit
73,bqskit_clifford_13_22764,bqskit_clifford_13_22764_1e-08_ScanPartitioner3_LEAP,13,13.781032800674438,684,968,261,400,1690,4414,"HGate, CYGate, XGate, YGate, SdgGate, ZGate, CNOTGate, CZGate, SGate, SwapGate","XGate, SqrtXGate, RZGate,  CNOTGate",ScanPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,5.248447204968944,18.981366459627328,2.124223602484472,3.211180124223602,,False,BQSkit
74,bqskit_clifford_13_22764,bqskit_clifford_13_22764_OptimizationLevel3,13,0.30217146873474104,684,497,261,180,1690,1709,"x, h, cy, cx, cz, y, swap, sdg, s, z","rz, cx, sx, x",,,,,,,,,,,3.0,False,Qiskit
75,bqskit_clifford_8_76142,bqskit_clifford_8_76142_1e-08_ScanPartitioner3_QSearch,8,7.750296592712402,258,357,141,215,640,1784,"CYGate, HGate, SdgGate, YGate, XGate, CZGate, ZGate, CNOTGate, SGate, SwapGate","XGate, RZGate, SqrtXGate,  CNOTGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,5.517241379310345,18.353448275862068,2.224137931034482,3.086206896551724,,False,BQSkit
76,bqskit_clifford_8_76142,bqskit_clifford_8_76142_1e-08_ScanPartitioner3_LEAP,8,7.927945613861084,258,359,141,219,640,1726,"CYGate, HGate, SdgGate, YGate, XGate, CZGate, ZGate, CNOTGate, SGate, SwapGate","XGate, RZGate, SqrtXGate,  CNOTGate",ScanPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,5.517241379310345,19.689655172413794,2.224137931034482,3.353448275862069,,False,BQSkit
77,bqskit_clifford_8_76142,bqskit_clifford_8_76142_OptimizationLevel3,8,-0.36613225936889604,258,184,141,108,640,649,"cy, z, swap, s, sdg, y, x, h, cx, cz","rz, cx, sx, x",,,,,,,,,,,3.0,False,Qiskit
78,bqskit_clifford_6_13365,bqskit_clifford_6_13365_1e-08_ScanPartitioner3_QSearch,6,5.481000661849976,140,185,94,135,360,1104,"CYGate, HGate, YGate, XGate, SdgGate, CZGate, CNOTGate, ZGate, SGate, SwapGate","XGate, RZGate, SqrtXGate,  CNOTGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,6.428571428571429,18.375,2.5,3.089285714285714,,False,BQSkit
