,Circuit QASM File Name Before Optimization,Circuit QASM File Name After Optimization,Circuit Qubit Count,Compilation Time (seconds),Two-Qubit Gate Count Before Optimization,Two-Qubit Gate Count After Optimization,Two-Qubit Gate Depth Before Optimzation,Two-Qubit Gate Depth After Optimzation,Gate Count Before Optimization,Gate Count After Optimization,Gate Set Before Optimization,Gate Set After Optimization,Partitioner,Optimization Algorithm,Optimization Algorithm Success Threshold,Optimization Algorithm Replace Filter,Partitioner Block Size,Multistart Value,Average Number of Gates in Each Partition Before Optimization,Average Number of Gates in Each Partition After Optimization,Average Number of Two-Qubit Gates in Each Partition Before Optimization,Average Number of Two-Qubit Gates in Each Partition After Optimization,Optimization Level,Randomly Generated Circuit,Framework
99,bqskit_bv_all_ones_42,bqskit_bv_all_ones_42_1e-08_ScanPartitioner3_QSearch,42,3.60064959526062,41,41,41,41,167,291,"measurement, measurement, measurement, measurement, measurement, HGate, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, XGate, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, CNOTGate, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement","RZGate, SqrtXGate, CNOTGate,  XGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,5.9523809523809526,12.714285714285714,1.952380952380952,1.952380952380952,,False,BQSkit
100,bqskit_bv_all_ones_42,bqskit_bv_all_ones_42_1e-08_ScanPartitioner3_LEAP,42,2.098656177520752,41,41,41,41,167,291,"measurement, measurement, measurement, measurement, measurement, HGate, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, XGate, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, CNOTGate, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement","RZGate, SqrtXGate, CNOTGate,  XGate",ScanPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,5.9523809523809526,13.428571428571429,1.952380952380952,2.095238095238095,,False,BQSkit
101,bqskit_bv_all_ones_42,bqskit_bv_all_ones_42_OptimizationLevel3,42,0.129270792007446,41,41,42,41,167,259,"h, measure, cx, x","rz, sx, cx",,,,,,,,,,,3.0,False,Qiskit
102,bqskit_bv_all_ones_26,bqskit_bv_all_ones_26_1e-08_ScanPartitioner3_QSearch,26,3.027674674987793,25,25,25,25,103,179,"HGate, CNOTGate, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, XGate, measurement, measurement, measurement, measurement, measurement, measurement","RZGate, SqrtXGate, CNOTGate,  XGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,5.923076923076923,12.538461538461538,1.923076923076923,1.923076923076923,,False,BQSkit
103,bqskit_bv_all_ones_26,bqskit_bv_all_ones_26_1e-08_ScanPartitioner3_LEAP,26,2.6222727298736572,25,25,25,25,103,179,"HGate, CNOTGate, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, XGate, measurement, measurement, measurement, measurement, measurement, measurement","RZGate, SqrtXGate, CNOTGate,  XGate",ScanPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,5.923076923076923,12.923076923076923,1.923076923076923,2.0,,False,BQSkit
104,bqskit_bv_all_ones_26,bqskit_bv_all_ones_26_OptimizationLevel3,26,0.13786959648132302,25,25,26,25,103,163,"h, measure, cx, x","rz, sx, cx",,,,,,,,,,,3.0,False,Qiskit
105,bqskit_bv_all_ones_46,bqskit_bv_all_ones_46_1e-08_ScanPartitioner3_QSearch,46,3.954890727996826,45,45,45,45,183,319,"HGate, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, XGate, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, CNOTGate, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement","RZGate, SqrtXGate, CNOTGate,  XGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,5.9565217391304355,12.73913043478261,1.9565217391304341,1.9565217391304341,,False,BQSkit
106,bqskit_bv_all_ones_46,bqskit_bv_all_ones_46_1e-08_ScanPartitioner3_LEAP,46,3.9986507892608643,45,45,45,45,183,319,"HGate, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, XGate, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, CNOTGate, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement","RZGate, SqrtXGate, CNOTGate,  XGate",ScanPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,5.9565217391304355,12.956521739130435,1.9565217391304341,2.0,,False,BQSkit
107,bqskit_bv_all_ones_46,bqskit_bv_all_ones_46_OptimizationLevel3,46,0.14070773124694802,45,45,46,45,183,283,"h, measure, cx, x","rz, sx, cx",,,,,,,,,,,3.0,False,Qiskit
108,bqskit_bv_all_ones_9,bqskit_bv_all_ones_9_1e-08_ScanPartitioner3_QSearch,9,2.86109709739685,8,8,8,8,35,60,"CNOTGate, HGate, measurement, measurement, measurement, measurement, measurement, measurement, XGate, measurement, measurement, measurement","RZGate, SqrtXGate, CNOTGate,  XGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,6.5,13.0,2.0,2.0,,False,BQSkit
109,bqskit_bv_all_ones_9,bqskit_bv_all_ones_9_1e-08_ScanPartitioner3_LEAP,9,2.7259082794189453,8,8,8,8,35,60,"CNOTGate, HGate, measurement, measurement, measurement, measurement, measurement, measurement, XGate, measurement, measurement, measurement","RZGate, SqrtXGate, CNOTGate,  XGate",ScanPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,6.5,13.0,2.0,2.0,,False,BQSkit
110,bqskit_bv_all_ones_9,bqskit_bv_all_ones_9_OptimizationLevel3,9,0.028226137161254,8,8,9,8,35,61,"h, measure, cx, x","rz, sx, cx",,,,,,,,,,,3.0,False,Qiskit
111,bqskit_bv_all_ones_15,bqskit_bv_all_ones_15_1e-08_ScanPartitioner3_QSearch,15,2.703652381896972,14,14,14,14,59,102,"measurement, measurement, measurement, measurement, CNOTGate, HGate, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, measurement, XGate","RZGate, SqrtXGate, CNOTGate,  XGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,6.2857142857142865,13.714285714285714,2.0,2.1428571428571432,,False,BQSkit
