,Circuit QASM File Name Before Optimization,Circuit QASM File Name After Optimization,Circuit Qubit Count,Compilation Time (seconds),Two-Qubit Gate Count Before Optimization,Two-Qubit Gate Count After Optimization,Two-Qubit Gate Depth Before Optimzation,Two-Qubit Gate Depth After Optimzation,Gate Count Before Optimization,Gate Count After Optimization,Gate Set Before Optimization,Gate Set After Optimization,Partitioner,Optimization Algorithm,Optimization Algorithm Success Threshold,Optimization Algorithm Replace Filter,Partitioner Block Size,Multistart Value,Average Number of Gates in Each Partition Before Optimization,Average Number of Gates in Each Partition After Optimization,Average Number of Two-Qubit Gates in Each Partition Before Optimization,Average Number of Two-Qubit Gates in Each Partition After Optimization,Optimization Level,Randomly Generated Circuit,Framework
186,qiskit_clifford_15_62923,qiskit_clifford_15_62923_1e-08_ScanPartitioner3_QSearch,15,23.823946475982666,903,1321,318,499,2250,5529,"CZGate, XGate, CYGate, HGate, CNOTGate, SdgGate, ZGate, YGate, SGate, SwapGate","SqrtXGate, RZGate, XGate,  CNOTGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,5.244755244755245,18.965034965034967,2.104895104895105,3.202797202797203,,False,BQSkit
187,qiskit_clifford_15_62923,qiskit_clifford_15_62923_1e-08_ScanPartitioner3_LEAP,15,20.553581953048706,903,1319,318,500,2250,5528,"CZGate, XGate, CYGate, HGate, CNOTGate, SdgGate, ZGate, YGate, SGate, SwapGate","SqrtXGate, RZGate, XGate,  CNOTGate",ScanPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,5.244755244755245,20.083916083916083,2.104895104895105,3.426573426573426,,False,BQSkit
188,qiskit_clifford_15_62923,qiskit_clifford_15_62923_OptimizationLevel3,15,0.38770151138305603,903,650,318,224,2250,2210,"y, cx, cy, swap, sdg, s, h, z, x, cz","rz, cx, sx, x",,,,,,,,,,,3.0,False,Qiskit
189,qiskit_clifford_12_80185,qiskit_clifford_12_80185_1e-08_ScanPartitioner3_QSearch,12,15.178092241287231,574,817,219,347,1440,3735,"SGate, XGate, CYGate, SdgGate, HGate, CNOTGate, ZGate, YGate, CZGate, SwapGate","CNOTGate, RZGate, XGate,  SqrtXGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,5.3531598513011165,18.684014869888475,2.133828996282528,3.144981412639405,,False,BQSkit
190,qiskit_clifford_12_80185,qiskit_clifford_12_80185_1e-08_ScanPartitioner3_LEAP,12,13.370455503463745,574,818,219,346,1440,3655,"SGate, XGate, CYGate, SdgGate, HGate, CNOTGate, ZGate, YGate, CZGate, SwapGate","CNOTGate, RZGate, XGate,  SqrtXGate",ScanPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,5.3531598513011165,19.855018587360593,2.133828996282528,3.379182156133829,,False,BQSkit
191,qiskit_clifford_12_80185,qiskit_clifford_12_80185_OptimizationLevel3,12,0.265607118606567,574,412,219,155,1440,1482,"y, cz, z, s, h, cy, sdg, swap, cx, x","rz, cx, sx, x",,,,,,,,,,,3.0,False,Qiskit
192,qiskit_clifford_18_72402,qiskit_clifford_18_72402_1e-08_ScanPartitioner3_QSearch,18,36.11117434501648,1350,1983,386,631,3240,8160,"SGate, XGate, CYGate, HGate, CNOTGate, SdgGate, ZGate, YGate, CZGate, SwapGate","SqrtXGate, RZGate, XGate,  CNOTGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,4.976958525345622,18.7542242703533,2.073732718894009,3.161290322580645,,False,BQSkit
193,qiskit_clifford_18_72402,qiskit_clifford_18_72402_1e-08_ScanPartitioner3_LEAP,18,35.723936319351196,1350,1979,386,632,3240,8283,"SGate, XGate, CYGate, HGate, CNOTGate, SdgGate, ZGate, YGate, CZGate, SwapGate","SqrtXGate, RZGate, XGate,  CNOTGate",ScanPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,4.976958525345622,20.113671274961597,2.073732718894009,3.4331797235023043,,False,BQSkit
194,qiskit_clifford_18_72402,qiskit_clifford_18_72402_OptimizationLevel3,18,0.5608222484588621,1350,980,386,276,3240,3368,"cy, swap, y, h, x, cz, cx, z, s, sdg","rz, cx, sx, x",,,,,,,,,,,3.0,False,Qiskit
195,qiskit_clifford_20_61359,qiskit_clifford_20_61359_1e-08_ScanPartitioner3_QSearch,20,46.57461714744568,1641,2354,448,691,4000,10074,"SGate, XGate, CYGate, HGate, CNOTGate, ZGate, SdgGate, YGate, CZGate, SwapGate","SqrtXGate, RZGate, XGate,  CNOTGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,5.044136191677175,18.41109709962169,2.069356872635561,3.090794451450189,,False,BQSkit
196,qiskit_clifford_20_61359,qiskit_clifford_20_61359_1e-08_ScanPartitioner3_LEAP,20,45.79030680656433,1641,2357,448,692,4000,9987,"SGate, XGate, CYGate, HGate, CNOTGate, ZGate, SdgGate, YGate, CZGate, SwapGate","SqrtXGate, RZGate, XGate,  CNOTGate",ScanPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,5.044136191677175,19.943253467843633,2.069356872635561,3.397225725094577,,False,BQSkit
197,qiskit_clifford_20_61359,qiskit_clifford_20_61359_OptimizationLevel3,20,1.198504209518432,1641,1215,448,334,4000,4121,"cy, z, y, cx, cz, x, swap, sdg, s, h","rz, cx, sx, x",,,,,,,,,,,3.0,False,Qiskit
198,qiskit_clifford_13_18568,qiskit_clifford_13_18568_1e-08_ScanPartitioner3_QSearch,13,17.659318923950195,648,918,255,370,1690,4409,"CZGate, XGate, CYGate, SdgGate, CNOTGate, ZGate, HGate, YGate, SGate, SwapGate","SqrtXGate, XGate, RZGate,  CNOTGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,5.522875816993464,18.415032679738562,2.117647058823529,3.098039215686274,,False,BQSkit
199,qiskit_clifford_13_18568,qiskit_clifford_13_18568_1e-08_ScanPartitioner3_LEAP,13,16.174731254577637,648,918,255,370,1690,4409,"CZGate, XGate, CYGate, SdgGate, CNOTGate, ZGate, HGate, YGate, SGate, SwapGate","SqrtXGate, XGate, RZGate,  CNOTGate",ScanPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,5.522875816993464,19.54248366013072,2.117647058823529,3.323529411764706,,False,BQSkit
200,qiskit_clifford_13_18568,qiskit_clifford_13_18568_OptimizationLevel3,13,0.27840232849121005,648,460,255,181,1690,1655,"z, h, x, cx, swap, sdg, s, cy, y, cz","rz, cx, sx, x",,,,,,,,,,,3.0,False,Qiskit
201,qiskit_clifford_5_40844,qiskit_clifford_5_40844_1e-08_ScanPartitioner3_QSearch,5,4.391878366470337,92,120,69,94,250,743,"CZGate, XGate, CYGate, SdgGate, ZGate, CNOTGate, HGate, YGate, SGate, SwapGate","SqrtXGate, XGate, RZGate,  CNOTGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,7.575757575757576,19.242424242424242,2.787878787878788,3.272727272727273,,False,BQSkit
202,qiskit_clifford_5_40844,qiskit_clifford_5_40844_1e-08_ScanPartitioner3_LEAP,5,4.2255494594573975,92,120,69,94,250,762,"CZGate, XGate, CYGate, SdgGate, ZGate, CNOTGate, HGate, YGate, SGate, SwapGate","SqrtXGate, XGate, RZGate,  CNOTGate",ScanPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,7.575757575757576,20.303030303030305,2.787878787878788,3.484848484848485,,False,BQSkit
203,qiskit_clifford_5_40844,qiskit_clifford_5_40844_OptimizationLevel3,5,0.064466953277587,92,58,69,41,250,262,"cz, z, x, s, sdg, y, h, swap, cy, cx","rz, sx, cx, x",,,,,,,,,,,3.0,False,Qiskit
204,qiskit_clifford_8_38070,qiskit_clifford_8_38070_1e-08_ScanPartitioner3_QSearch,8,7.6489577293396,260,377,141,223,640,1642,"SGate, XGate, CYGate, HGate, CNOTGate, ZGate, SdgGate, YGate, CZGate, SwapGate","SqrtXGate, RZGate, XGate,  CNOTGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,5.245901639344262,19.114754098360656,2.131147540983606,3.237704918032787,,False,BQSkit
205,qiskit_clifford_8_38070,qiskit_clifford_8_38070_1e-08_ScanPartitioner3_LEAP,8,8.537292957305908,260,378,141,225,640,1599,"SGate, XGate, CYGate, HGate, CNOTGate, ZGate, SdgGate, YGate, CZGate, SwapGate","SqrtXGate, RZGate, XGate,  CNOTGate",ScanPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,5.245901639344262,20.631147540983605,2.131147540983606,3.540983606557377,,False,BQSkit
206,qiskit_clifford_8_38070,qiskit_clifford_8_38070_OptimizationLevel3,8,0.244132757186889,260,189,141,105,640,665,"y, h, cz, cy, s, swap, cx, x, sdg, z","rz, cx, sx, x",,,,,,,,,,,3.0,False,Qiskit
207,qiskit_clifford_10_22780,qiskit_clifford_10_22780_1e-08_ScanPartitioner3_QSearch,10,5.029933452606201,392,552,190,278,1000,2531,"SGate, XGate, CYGate, ZGate, CNOTGate, SdgGate, HGate, YGate, CZGate, SwapGate","CNOTGate, RZGate, XGate,  SqrtXGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,5.434782608695652,18.206521739130434,2.1304347826086962,3.054347826086956,,False,BQSkit
208,qiskit_clifford_10_22780,qiskit_clifford_10_22780_1e-08_ScanPartitioner3_LEAP,10,10.03498387336731,392,554,190,277,1000,2436,"SGate, XGate, CYGate, ZGate, CNOTGate, SdgGate, HGate, YGate, CZGate, SwapGate","CNOTGate, RZGate, XGate,  SqrtXGate",ScanPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,5.434782608695652,19.375,2.1304347826086962,3.288043478260869,,False,BQSkit
209,qiskit_clifford_10_22780,qiskit_clifford_10_22780_OptimizationLevel3,10,0.176483631134033,392,298,190,152,1000,1012,"s, cy, h, z, cx, x, sdg, cz, y, swap","rz, cx, sx, x",,,,,,,,,,,3.0,False,Qiskit
210,qiskit_clifford_7_92227,qiskit_clifford_7_92227_1e-08_ScanPartitioner3_QSearch,7,7.133121490478516,192,276,124,195,490,1346,"SGate, XGate, CYGate, SdgGate, CNOTGate, ZGate, HGate, YGate, CZGate, SwapGate","SqrtXGate, RZGate, XGate,  CNOTGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,5.833333333333333,18.738095238095237,2.285714285714285,3.166666666666666,,False,BQSkit
211,qiskit_clifford_7_92227,qiskit_clifford_7_92227_1e-08_ScanPartitioner3_LEAP,7,5.776250839233398,192,283,124,201,490,1232,"SGate, XGate, CYGate, SdgGate, CNOTGate, ZGate, HGate, YGate, CZGate, SwapGate","SqrtXGate, RZGate, XGate,  CNOTGate",ScanPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,5.833333333333333,20.107142857142858,2.285714285714285,3.44047619047619,,False,BQSkit
212,qiskit_clifford_7_92227,qiskit_clifford_7_92227_OptimizationLevel3,7,0.106547832489013,192,125,124,80,490,468,"sdg, y, z, cy, swap, cx, s, x, cz, h","rz, cx, sx, x",,,,,,,,,,,3.0,False,Qiskit
213,qiskit_clifford_12_33019,qiskit_clifford_12_33019_1e-08_ScanPartitioner3_QSearch,12,16.786857843399048,594,853,236,359,1440,3889,"SGate, XGate, CYGate, HGate, ZGate, SdgGate, CNOTGate, YGate, CZGate, SwapGate","SqrtXGate, RZGate, XGate,  CNOTGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,5.142857142857143,18.4,2.121428571428571,3.096428571428571,,False,BQSkit
214,qiskit_clifford_12_33019,qiskit_clifford_12_33019_1e-08_ScanPartitioner3_LEAP,12,16.408165454864502,594,854,236,362,1440,3860,"SGate, XGate, CYGate, HGate, ZGate, SdgGate, CNOTGate, YGate, CZGate, SwapGate","SqrtXGate, RZGate, XGate,  CNOTGate",ScanPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,5.142857142857143,19.632142857142856,2.121428571428571,3.342857142857143,,False,BQSkit
