Circuit QASM File Name Before Optimization,Circuit QASM File Name After Optimization,Circuit Qubit Count,Compilation Time (seconds),Two-Qubit Gate Count Before Optimization,Two-Qubit Gate Count After Optimization,Two-Qubit Gate Depth Before Optimzation,Two-Qubit Gate Depth After Optimzation,Gate Count Before Optimization,Gate Count After Optimization,Gate Set Before Optimization,Gate Set After Optimization,Partitioner,Optimization Algorithm,Optimization Algorithm Success Threshold,Optimization Algorithm Replace Filter,Partitioner Block Size,Multistart Value,Average Number of Gates in Each Partition Before Optimization,Average Number of Gates in Each Partition After Optimization,Average Number of Two-Qubit Gates in Each Partition Before Optimization,Average Number of Two-Qubit Gates in Each Partition After Optimization,Optimization Level,Randomly Generated Circuit,Framework
hhl_n7,hhl_n7_1e-08_QuckPartitioner3_QSearch,7,13.190611839294434,197,92,180,78,697,896,"RYGate, RXGate, measurement, measurement, barrier, measurement, measurement, measurement, measurement, measurement, HGate, RZGate, CNOTGate","RZGate, SqrtXGate,  CNOTGate",QuckPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,21.5625,19.75,6.15625,3.34375,,False,BQSkit
hhl_n7,hhl_n7_1e-08_QuckPartitioner3_LEAP,7,10.071435689926147,197,95,180,78,697,849,"RYGate, RXGate, measurement, measurement, barrier, measurement, measurement, measurement, measurement, measurement, HGate, RZGate, CNOTGate","RZGate, SqrtXGate,  CNOTGate",QuckPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,21.5625,21.46875,6.15625,3.6875,,False,BQSkit
hhl_n7,hhl_n7_OptimizationLevel3,7,0.037107467651367,196,92,179,75,697,389,"rz, cx, ry, measure, rx, h, barrier","rz, sx, cx, x",,,,,,,,,,,3.0,False,Qiskit
hhl_6,hhl_6_1e-08_QuckPartitioner3_QSearch,6,18.406416416168213,220,145,213,133,504,2485,"CNOTGate, U3Gate","RZGate, SqrtXGate,  CNOTGate",QuckPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,18.0,29.428571428571427,7.857142857142857,5.2857142857142865,,False,BQSkit
hhl_6,hhl_6_1e-08_QuckPartitioner3_LEAP,6,11.521170139312744,220,171,213,156,504,2153,"CNOTGate, U3Gate","RZGate, SqrtXGate,  CNOTGate",QuckPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,18.0,35.142857142857146,7.857142857142857,6.428571428571429,,False,BQSkit
hhl_6,hhl_6_OptimizationLevel3,6,0.037837743759155,220,174,213,167,504,563,"u3, cx","rz, cx, sx, x",,,,,,,,,,,3.0,False,Qiskit
