Circuit QASM File Name Before Optimization,Circuit QASM File Name After Optimization,Circuit Qubit Count,Compilation Time (seconds),Two-Qubit Gate Count Before Optimization,Two-Qubit Gate Count After Optimization,Two-Qubit Gate Depth Before Optimzation,Two-Qubit Gate Depth After Optimzation,Gate Count Before Optimization,Gate Count After Optimization,Gate Set Before Optimization,Gate Set After Optimization,Partitioner,Optimization Algorithm,Optimization Algorithm Success Threshold,Optimization Algorithm Replace Filter,Partitioner Block Size,Multistart Value,Average Number of Gates in Each Partition Before Optimization,Average Number of Gates in Each Partition After Optimization,Average Number of Two-Qubit Gates in Each Partition Before Optimization,Average Number of Two-Qubit Gates in Each Partition After Optimization,Optimization Level,Randomly Generated Circuit,Framework
ham_all_vib_o3_mu_y_prime_enc_unary_dvalues_4_4_4,ham_all_vib_o3_mu_y_prime_enc_unary_dvalues_4_4_4_1e-08_ScanPartitioner3_QSearch,4,5.356395721435547,12,7,12,7,42,144,"CNOTGate, HGate, RXGate, RZGate","SqrtXGate, CNOTGate,  RZGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,21.0,20.0,6.0,3.5,,False,BQSkit
ham_all_vib_o3_mu_y_prime_enc_unary_dvalues_4_4_4,ham_all_vib_o3_mu_y_prime_enc_unary_dvalues_4_4_4_1e-08_ScanPartitioner3_LEAP,4,3.082335710525512,12,9,12,9,42,178,"CNOTGate, HGate, RXGate, RZGate","SqrtXGate, CNOTGate,  RZGate",ScanPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,21.0,25.0,6.0,4.5,,False,BQSkit
ham_all_vib_o3_mu_y_prime_enc_unary_dvalues_4_4_4,ham_all_vib_o3_mu_y_prime_enc_unary_dvalues_4_4_4_OptimizationLevel3,4,0.017637729644775002,12,6,12,6,42,42,"h, cx, rx, rz","rz, sx, cx, x",,,,,,,,,,,3.0,False,Qiskit
ham_TSP_Ncity_4_tsp_rand_002_Ncity_4_enc_stdbinary,ham_TSP_Ncity_4_tsp_rand_002_Ncity_4_enc_stdbinary_1e-08_ScanPartitioner3_QSearch,8,14.499597311019897,128,74,106,61,176,1310,"CNOTGate, RZGate","SqrtXGate, CNOTGate,  RZGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,8.8,21.75,6.4,3.75,,False,BQSkit
ham_TSP_Ncity_4_tsp_rand_002_Ncity_4_enc_stdbinary,ham_TSP_Ncity_4_tsp_rand_002_Ncity_4_enc_stdbinary_1e-08_ScanPartitioner3_LEAP,8,6.971292495727539,128,93,106,79,176,1447,"CNOTGate, RZGate","SqrtXGate, CNOTGate,  RZGate",ScanPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,8.8,27.0,6.4,4.8,,False,BQSkit
ham_TSP_Ncity_4_tsp_rand_002_Ncity_4_enc_stdbinary,ham_TSP_Ncity_4_tsp_rand_002_Ncity_4_enc_stdbinary_OptimizationLevel3,8,0.014619827270507,128,80,106,65,176,226,"cx, rz","rz, cx, sx",,,,,,,,,,,3.0,False,Qiskit
ham_Be2_JW_6,ham_Be2_JW_6_1e-08_ScanPartitioner3_QSearch,6,10.166788101196289,310,271,302,264,611,2094,"CNOTGate, RZGate, HGate, RXGate","SqrtXGate, CNOTGate,  RZGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,5.990196078431373,19.45098039215686,3.039215686274509,3.294117647058823,,False,BQSkit
ham_Be2_JW_6,ham_Be2_JW_6_1e-08_ScanPartitioner3_LEAP,6,9.908183336257935,310,270,302,262,611,1868,"CNOTGate, RZGate, HGate, RXGate","SqrtXGate, CNOTGate,  RZGate",ScanPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,5.990196078431373,20.823529411764707,3.039215686274509,3.568627450980392,,False,BQSkit
ham_Be2_JW_6,ham_Be2_JW_6_OptimizationLevel3,6,0.039237499237060006,310,225,302,217,611,558,"cx, rx, h, rz","cx, rz, sx",,,,,,,,,,,3.0,False,Qiskit
ham_graph_gnp_k_4_gnp_k_4_n_6_rinst_15,ham_graph_gnp_k_4_gnp_k_4_n_6_rinst_15_1e-08_ScanPartitioner3_QSearch,6,89.38207125663757,90,84,78,72,255,688,"CNOTGate, HGate, RXGate, RZGate","SqrtXGate, CNOTGate,  RZGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,13.421052631578947,25.105263157894736,4.7368421052631575,4.421052631578948,,False,BQSkit
ham_graph_gnp_k_4_gnp_k_4_n_6_rinst_15,ham_graph_gnp_k_4_gnp_k_4_n_6_rinst_15_1e-08_ScanPartitioner3_LEAP,6,7.259199619293213,90,85,78,73,255,705,"CNOTGate, HGate, RXGate, RZGate","SqrtXGate, CNOTGate,  RZGate",ScanPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,13.421052631578947,28.263157894736842,4.7368421052631575,5.052631578947368,,False,BQSkit
ham_graph_gnp_k_4_gnp_k_4_n_6_rinst_15,ham_graph_gnp_k_4_gnp_k_4_n_6_rinst_15_OptimizationLevel3,6,0.016590595245361002,90,87,78,75,255,266,"cx, h, rx, rz","rz, cx, sx, x",,,,,,,,,,,3.0,False,Qiskit
ham_all_vib_hno_mu_x_prime_enc_unary_dvalues_4_4_4,ham_all_vib_hno_mu_x_prime_enc_unary_dvalues_4_4_4_1e-08_ScanPartitioner3_QSearch,12,6.232738494873047,36,23,12,9,126,466,"CNOTGate, HGate, RXGate, RZGate","SqrtXGate, CNOTGate,  RZGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,21.0,21.666666666666668,6.0,3.833333333333333,,False,BQSkit
ham_all_vib_hno_mu_x_prime_enc_unary_dvalues_4_4_4,ham_all_vib_hno_mu_x_prime_enc_unary_dvalues_4_4_4_1e-08_ScanPartitioner3_LEAP,12,5.707644939422607,36,21,12,8,126,432,"CNOTGate, HGate, RXGate, RZGate","SqrtXGate, CNOTGate,  RZGate",ScanPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,21.0,20.0,6.0,3.5,,False,BQSkit
ham_all_vib_hno_mu_x_prime_enc_unary_dvalues_4_4_4,ham_all_vib_hno_mu_x_prime_enc_unary_dvalues_4_4_4_OptimizationLevel3,12,0.011904954910278001,36,18,12,6,126,133,"h, cx, rx, rz","rz, sx, cx, x",,,,,,,,,,,3.0,False,Qiskit
ham_all_vib_fccf_mu_y_prime_enc_stdbinary_dvalues_16_16_16_16_8_8_8,ham_all_vib_fccf_mu_y_prime_enc_stdbinary_dvalues_16_16_16_16_8_8_8_1e-08_ScanPartitioner3_QSearch,4,7.296992063522339,144,93,144,91,334,1227,"CNOTGate, HGate, RXGate, RZGate","SqrtXGate, CNOTGate,  RZGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,10.121212121212121,20.272727272727273,4.363636363636363,3.454545454545454,,False,BQSkit
ham_all_vib_fccf_mu_y_prime_enc_stdbinary_dvalues_16_16_16_16_8_8_8,ham_all_vib_fccf_mu_y_prime_enc_stdbinary_dvalues_16_16_16_16_8_8_8_1e-08_ScanPartitioner3_LEAP,4,7.824490070343018,144,95,144,95,334,927,"CNOTGate, HGate, RXGate, RZGate","SqrtXGate, CNOTGate,  RZGate",ScanPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,10.121212121212121,23.454545454545453,4.363636363636363,4.090909090909091,,False,BQSkit
ham_all_vib_fccf_mu_y_prime_enc_stdbinary_dvalues_16_16_16_16_8_8_8,ham_all_vib_fccf_mu_y_prime_enc_stdbinary_dvalues_16_16_16_16_8_8_8_OptimizationLevel3,4,0.024329662322998002,144,49,144,49,334,225,"cx, h, rx, rz","rz, sx, cx, x",,,,,,,,,,,3.0,False,Qiskit
ham_BH_JW_10,ham_BH_JW_10_1e-08_ScanPartitioner3_QSearch,10,59.79112720489502,2362,2018,2322,1974,3965,13105,"CNOTGate, RZGate, HGate, RXGate","SqrtXGate, CNOTGate,  RZGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,4.291125541125541,16.318181818181817,2.556277056277056,2.664502164502164,,False,BQSkit
ham_BH_JW_10,ham_BH_JW_10_1e-08_ScanPartitioner3_LEAP,10,58.07621955871582,2362,2030,2322,1976,3965,13125,"CNOTGate, RZGate, HGate, RXGate","SqrtXGate, CNOTGate,  RZGate",ScanPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,4.291125541125541,17.48160173160173,2.556277056277056,2.8971861471861473,,False,BQSkit
ham_BH_JW_10,ham_BH_JW_10_OptimizationLevel3,10,0.533878803253173,2362,1459,2322,1419,3965,3130,"cx, rx, h, rz","cx, rz, sx, x",,,,,,,,,,,3.0,False,Qiskit
ham_uf20_ham_7_uf20_0384_cnf_8_res,ham_uf20_ham_7_uf20_0384_cnf_8_res_1e-08_ScanPartitioner3_QSearch,8,4.817197561264038,50,46,30,28,79,269,"CNOTGate, RZGate","SqrtXGate, CNOTGate,  RZGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,6.583333333333333,22.416666666666668,4.166666666666667,3.916666666666666,,False,BQSkit
ham_uf20_ham_7_uf20_0384_cnf_8_res,ham_uf20_ham_7_uf20_0384_cnf_8_res_1e-08_ScanPartitioner3_LEAP,8,4.973032474517822,50,45,30,27,79,252,"CNOTGate, RZGate","SqrtXGate, CNOTGate,  RZGate",ScanPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,6.583333333333333,25.333333333333332,4.166666666666667,4.5,,False,BQSkit
ham_uf20_ham_7_uf20_0384_cnf_8_res,ham_uf20_ham_7_uf20_0384_cnf_8_res_OptimizationLevel3,8,0.008897066116333001,50,44,30,25,79,101,"cx, rz","rz, cx, sx",,,,,,,,,,,3.0,False,Qiskit
ham_tfim_graph_1D_grid_pbc_qubitnodes_Lx_16_h_2,ham_tfim_graph_1D_grid_pbc_qubitnodes_Lx_16_h_2_1e-08_ScanPartitioner3_QSearch,16,3.898423671722412,32,32,28,28,64,128,"CNOTGate, RZGate, RXGate","CNOTGate, SqrtXGate,  RZGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,8.0,23.0,4.0,4.0,,False,BQSkit
ham_tfim_graph_1D_grid_pbc_qubitnodes_Lx_16_h_2,ham_tfim_graph_1D_grid_pbc_qubitnodes_Lx_16_h_2_1e-08_ScanPartitioner3_LEAP,16,0.8416872024536131,32,32,28,28,64,128,"CNOTGate, RZGate, RXGate","CNOTGate, SqrtXGate,  RZGate",ScanPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,8.0,23.0,4.0,4.0,,False,BQSkit
ham_tfim_graph_1D_grid_pbc_qubitnodes_Lx_16_h_2,ham_tfim_graph_1D_grid_pbc_qubitnodes_Lx_16_h_2_OptimizationLevel3,16,0.010465860366821001,32,32,28,28,64,128,"cx, rz, rx","rz, cx, sx",,,,,,,,,,,3.0,False,Qiskit
ham_all_vib_cyclo_propene_mu_x_prime_enc_stdbinary_dvalues_8_8_8_8_8_8_8_8_8_4_4_4_4_4_4,ham_all_vib_cyclo_propene_mu_x_prime_enc_stdbinary_dvalues_8_8_8_8_8_8_8_8_8_4_4_4_4_4_4_1e-08_ScanPartitioner3_QSearch,11,306.4010980129242,114,30,36,9,302,565,"CNOTGate, HGate, RXGate, RZGate","SqrtXGate, CNOTGate,  RZGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,75.5,40.25,28.5,7.5,,False,BQSkit
ham_all_vib_cyclo_propene_mu_x_prime_enc_stdbinary_dvalues_8_8_8_8_8_8_8_8_8_4_4_4_4_4_4,ham_all_vib_cyclo_propene_mu_x_prime_enc_stdbinary_dvalues_8_8_8_8_8_8_8_8_8_4_4_4_4_4_4_1e-08_ScanPartitioner3_LEAP,11,14.748226165771484,114,44,36,14,302,803,"CNOTGate, HGate, RXGate, RZGate","SqrtXGate, CNOTGate,  RZGate",ScanPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,75.5,57.75,28.5,11.0,,False,BQSkit
ham_all_vib_cyclo_propene_mu_x_prime_enc_stdbinary_dvalues_8_8_8_8_8_8_8_8_8_4_4_4_4_4_4,ham_all_vib_cyclo_propene_mu_x_prime_enc_stdbinary_dvalues_8_8_8_8_8_8_8_8_8_4_4_4_4_4_4_OptimizationLevel3,11,0.017266988754272003,114,50,36,16,302,271,"cx, h, rx, rz","rz, sx, cx, x",,,,,,,,,,,3.0,False,Qiskit
ham_H2_JW_8,ham_H2_JW_8_1e-08_ScanPartitioner3_QSearch,8,25.64397931098938,1328,1138,1306,1115,2472,8707,"CNOTGate, RZGate, HGate, RXGate","SqrtXGate, CNOTGate,  RZGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,5.024390243902439,17.321138211382113,2.699186991869918,2.865853658536585,,False,BQSkit
ham_H2_JW_8,ham_H2_JW_8_1e-08_ScanPartitioner3_LEAP,8,24.582319021224976,1328,1150,1306,1120,2472,8610,"CNOTGate, RZGate, HGate, RXGate","SqrtXGate, CNOTGate,  RZGate",ScanPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,5.024390243902439,18.378048780487806,2.699186991869918,3.077235772357723,,False,BQSkit
ham_H2_JW_8,ham_H2_JW_8_OptimizationLevel3,8,0.17373609542846602,1328,847,1306,825,2472,2102,"cx, rx, h, rz","cx, rz, sx, x",,,,,,,,,,,3.0,False,Qiskit
ham_all_vib_fccf_mu_z_prime_enc_unary_dvalues_16_16_16_16_16_16_16,ham_all_vib_fccf_mu_z_prime_enc_unary_dvalues_16_16_16_16_16_16_16_1e-08_ScanPartitioner3_QSearch,16,4.951061964035034,60,36,60,35,210,727,"CNOTGate, HGate, RXGate, RZGate","SqrtXGate, CNOTGate,  RZGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,26.25,25.375,7.5,4.5,,False,BQSkit
ham_all_vib_fccf_mu_z_prime_enc_unary_dvalues_16_16_16_16_16_16_16,ham_all_vib_fccf_mu_z_prime_enc_unary_dvalues_16_16_16_16_16_16_16_1e-08_ScanPartitioner3_LEAP,16,4.7686567306518555,60,45,60,42,210,730,"CNOTGate, HGate, RXGate, RZGate","SqrtXGate, CNOTGate,  RZGate",ScanPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,26.25,31.0,7.5,5.625,,False,BQSkit
ham_all_vib_fccf_mu_z_prime_enc_unary_dvalues_16_16_16_16_16_16_16,ham_all_vib_fccf_mu_z_prime_enc_unary_dvalues_16_16_16_16_16_16_16_OptimizationLevel3,16,0.011546373367309001,60,30,60,30,210,212,"h, cx, rx, rz","rz, sx, cx, x",,,,,,,,,,,3.0,False,Qiskit
