,Circuit QASM File Name Before Optimization,Circuit QASM File Name After Optimization,Circuit Qubit Count,Compilation Time (seconds),Two-Qubit Gate Count Before Optimization,Two-Qubit Gate Count After Optimization,Two-Qubit Gate Depth Before Optimzation,Two-Qubit Gate Depth After Optimzation,Gate Count Before Optimization,Gate Count After Optimization,Gate Set Before Optimization,Gate Set After Optimization,Partitioner,Optimization Algorithm,Optimization Algorithm Success Threshold,Optimization Algorithm Replace Filter,Partitioner Block Size,Multistart Value,Average Number of Gates in Each Partition Before Optimization,Average Number of Gates in Each Partition After Optimization,Average Number of Two-Qubit Gates in Each Partition Before Optimization,Average Number of Two-Qubit Gates in Each Partition After Optimization,Optimization Level,Randomly Generated Circuit,Framework
23,qiskit_dtc_11_9.5547_95547,qiskit_dtc_11_9.5547_95547_OptimizationLevel3,11,0.017605543136596,10,20,2,4,32,95,"rx, rz, rzz","rz, sx, cx",,,,,,,,,,,3.0,False,Qiskit
24,qiskit_dtc_17_4.0394_40394,qiskit_dtc_17_4.0394_40394_1e-08_ScanPartitioner3_QSearch,17,3.539714813232422,16,32,2,4,50,150,"RXGate, RZZGate, RZGate","SqrtXGate, RZGate,  CNOTGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,6.25,23.0,2.0,4.0,,False,BQSkit
25,qiskit_dtc_17_4.0394_40394,qiskit_dtc_17_4.0394_40394_1e-08_ScanPartitioner3_LEAP,17,3.858014345169067,16,32,2,4,50,150,"RXGate, RZZGate, RZGate","SqrtXGate, RZGate,  CNOTGate",ScanPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,6.25,24.25,2.0,4.25,,False,BQSkit
26,qiskit_dtc_17_4.0394_40394,qiskit_dtc_17_4.0394_40394_OptimizationLevel3,17,0.023023366928100003,16,32,2,4,50,149,"rx, rz, rzz","rz, sx, cx",,,,,,,,,,,3.0,False,Qiskit
27,qiskit_dtc_10_5.577_55770,qiskit_dtc_10_5.577_55770_1e-08_ScanPartitioner3_QSearch,10,4.095880508422852,9,18,2,4,29,87,"RXGate, RZZGate, RZGate","SqrtXGate, RZGate,  CNOTGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,5.8,21.0,1.8,3.6,,False,BQSkit
28,qiskit_dtc_10_5.577_55770,qiskit_dtc_10_5.577_55770_1e-08_ScanPartitioner3_LEAP,10,3.693626880645752,9,18,2,4,29,87,"RXGate, RZZGate, RZGate","SqrtXGate, RZGate,  CNOTGate",ScanPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,5.8,21.0,1.8,3.6,,False,BQSkit
29,qiskit_dtc_10_5.577_55770,qiskit_dtc_10_5.577_55770_OptimizationLevel3,10,0.016936302185058,9,18,2,4,29,86,"rx, rz, rzz","rz, sx, cx",,,,,,,,,,,3.0,False,Qiskit
30,qiskit_dtc_20_4.8531_48531,qiskit_dtc_20_4.8531_48531_1e-08_ScanPartitioner3_QSearch,20,3.422171592712402,19,38,2,4,59,177,"RXGate, RZZGate, RZGate","SqrtXGate, RZGate,  CNOTGate",ScanPartitioner3,QSearch,1e-08,less-than-multi,3.0,2^3,5.9,22.0,1.9,3.8,,False,BQSkit
31,qiskit_dtc_20_4.8531_48531,qiskit_dtc_20_4.8531_48531_1e-08_ScanPartitioner3_LEAP,20,3.295993328094482,19,38,2,4,59,177,"RXGate, RZZGate, RZGate","SqrtXGate, RZGate,  CNOTGate",ScanPartitioner3,LEAP,1e-08,less-than-multi,3.0,2^3,5.9,22.0,1.9,3.8,,False,BQSkit
32,qiskit_dtc_20_4.8531_48531,qiskit_dtc_20_4.8531_48531_OptimizationLevel3,20,0.029565572738647003,19,38,2,4,59,176,"rx, rz, rzz","rz, sx, cx",,,,,,,,,,,3.0,False,Qiskit
